subject	subject_activity	subject_location	subject_process	relation	object	object_activity	object_location	object_process	model	state
REACTO:R-HSA-450343	GO:0004708	GO:0005654	GO:0038066	RO:0002629	REACTO:R-HSA-198703	GO:0004674	GO:0005654	GO:0038066	gomodel:R-HSA-450302	development
REACTO:R-HSA-202527	GO:0004674	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-202527	GO:0004674	GO:0005829		RO:0002411	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-5607649	GO:0004674	GO:0005829		RO:0002411	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	RO:0002629	REACTO:R-HSA-202506	GO:0004674	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-5607687	GO:0004842	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-68819	GO:0004175	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-5607687	GO:0004842	GO:0005829		RO:0002411	REACTO:R-HSA-68819	GO:0004175	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
REACTO:R-HSA-202506	GO:0004674	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-5607687	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-2871837	development
UniProtKB:Q9NYL2-1	GO:0170011	GO:0005737	GO:1902010	RO:0002629	UniProtKB:Q9P2K8	GO:0004694	GO:0005829	GO:0140469	gomodel:62f58d8800000037	production
MGI:MGI:95393	GO:0004634	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:97552	GO:0004619	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:95640	GO:0004365	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:101863	GO:0004332	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:98797	GO:0004807	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:101863	GO:0004332	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:97552	GO:0004619	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:97555	GO:0004618	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:97555	GO:0004618	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:95640	GO:0004365	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:95640	GO:0004365	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:98797	GO:0004807	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:101863	GO:0004332	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:95492	GO:0042132	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:95492	GO:0042132	GO:0005829	GO:0006094	RO:0002413	MGI:MGI:95797	GO:0004347	GO:0005829	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:1316650	GO:0061513	GO:0005789	GO:0006094	RO:0002413	MGI:MGI:95607	GO:0004346	GO:0005783	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:97520	GO:0004736	GO:0005759	GO:0006094	RO:0002413	MGI:MGI:1860456	GO:0004613	GO:0005759	GO:0006094	gomodel:62d0afa500000132	production
MGI:MGI:1316650	GO:0061513	GO:0005789	GO:0006094	RO:0002413	MGI:MGI:1915651	GO:0004346	GO:0005783	GO:0006094	gomodel:62d0afa500000132	production
REACTO:R-HSA-205021	GO:0004407	GO:0005654	GO:0000183	RO:0002413	REACTO:R-HSA-427410	GO:0009008	GO:0005654	GO:0000183	gomodel:R-HSA-427413	development
MGI:MGI:1274789	GO:0004801	GO:0005829	GO:1901159	RO:0002413	MGI:MGI:105992	GO:0004802	GO:0005829	GO:1901159	gomodel:635b1e3e00000382	production
MGI:MGI:98797	GO:0004807	GO:0005829	GO:0061621	RO:0002413	MGI:MGI:105992	GO:0004802	GO:0005829	GO:1901159	gomodel:635b1e3e00000382	production
MGI:MGI:95797	GO:0004347	GO:0005829	GO:0061621	RO:0002413	MGI:MGI:105992	GO:0004802	GO:0005829	GO:1901159	gomodel:635b1e3e00000382	production
MGI:MGI:105992	GO:0004802	GO:0005829	GO:1901159	RO:0002413	MGI:MGI:1274789	GO:0004801	GO:0005829	GO:1901159	gomodel:635b1e3e00000382	production
MGI:MGI:95797	GO:0004347	GO:0005829	GO:0061621	RO:0002413	MGI:MGI:1274789	GO:0004801	GO:0005829	GO:1901159	gomodel:635b1e3e00000382	production
UniProtKB:P11473	GO:0004879	CL:0002563,GO:0005634	GO:1903412,GO:0035435	RO:0002305	UniProtKB:O15551	GO:0005198	UBERON:0001242,GO:0070160	GO:0034331,GO:2000186	gomodel:633b013300001122	production
MGI:MGI:2663253	GO:0003846	GO:0005789,CL:0000584,EMAPA:32834	GO:0019432	RO:0002413	MGI:MGI:1333825	GO:0004144	EMAPA:32834,CL:0000584,GO:0005789	GO:0019432	gomodel:6446bfcb00000031	production
REACTO:R-HSA-1464792	GO:0033829	GO:0000139	GO:0008150	RO:0002413	REACTO:R-HSA-975900	GO:0003831	GO:0000139	GO:0008150	gomodel:R-HSA-1912420	development
REACTO:R-HSA-1499957	GO:0003836	GO:0000139	GO:0008150	RO:0002413	REACTO:R-HSA-157049	GO:0004252	GO:0000139	GO:0008150	gomodel:R-HSA-1912420	development
REACTO:R-HSA-975900	GO:0003831	GO:0000139	GO:0008150	RO:0002413	REACTO:R-HSA-1499957	GO:0003836	GO:0000139	GO:0008150	gomodel:R-HSA-1912420	development
UniProtKB:P10220	GO:0101005	GO:0030430	GO:0039537	RO:0002630	UniProtKB:Q86WV6	GO:0061507	GO:0033116	GO:0002221	gomodel:62b4ffe300006258	production
REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0007268	RO:0002629	REACTO:R-HSA-111904	GO:0004683	GO:0005654	GO:0007268	gomodel:R-HSA-442729	development
REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0007268	RO:0002413	REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0007268	gomodel:R-HSA-442729	development
REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0007268	RO:0002629	REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0007268	gomodel:R-HSA-442729	development
REACTO:R-HSA-9618860	GO:0004683	GO:0005654	GO:0007268	RO:0002629	REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0007268	gomodel:R-HSA-442729	development
REACTO:R-HSA-2574832	GO:0004674	GO:0005829	GO:0008150	RO:0002411	REACTO:R-HSA-3000318	GO:0004674	GO:0005829	GO:0008150	gomodel:R-HSA-2565942	development
REACTO:R-HSA-2574832	GO:0004674	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-3000318	GO:0004674	GO:0005829	GO:0008150	gomodel:R-HSA-2565942	development
REACTO:R-HSA-2574832	GO:0004674	GO:0005829	GO:0008150	RO:0002629	REACTO:R-HSA-3000318	GO:0004674	GO:0005829	GO:0008150	gomodel:R-HSA-2565942	development
MGI:MGI:99439	GO:0048018	GO:0005615	GO:0038134	RO:0002629	MGI:MGI:95294	GO:0004714	GO:0005886	GO:0038134	gomodel:61b2b68300000408	production
MGI:MGI:95294	GO:0004714	GO:0005886	GO:0038134	RO:0002629	MGI:MGI:95410	GO:0004713	GO:0005886	GO:0038134	gomodel:61b2b68300000408	production
MGI:MGI:97551	GO:0022829	CL:0000182,GO:0005886	GO:0009306	RO:0002629	MGI:MGI:109383	GO:0004197	CL:0000182,GO:0005615	GO:0051604	gomodel:62900b6400002353	production
UniProtKB:Q92993	GO:0003682	GO:0000785	GO:0006974	RO:0002629	UniProtKB:Q92993	GO:0046972	GO:0000785	GO:0045944,GO:0006974	gomodel:617b481400000672	production
REACTO:R-HSA-396937	GO:0004713	GO:0005829	GO:0008150	RO:0002411	REACTO:R-HSA-396935	GO:0005085	GO:0005829	GO:0008150	gomodel:R-HSA-399955	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-8954265	GO:0008476	GO:0000139	GO:0006478	gomodel:R-HSA-163841	development
REACTO:R-HSA-913717	GO:0008499	GO:0000139	GO:0009312	RO:0002413	REACTO:R-HSA-5693934	GO:0017060	GO:0000139	GO:0009312	gomodel:R-HSA-9037629	development
REACTO:R-HSA-913717	GO:0008499	GO:0000139	GO:0009312	RO:0002413	REACTO:R-HSA-981488	GO:0003836	GO:0000139	GO:0009312	gomodel:R-HSA-9037629	development
REACTO:R-HSA-193137	GO:0008395	GO:0005829	GO:0006703	RO:0002411	REACTO:R-HSA-804966	GO:0004303	GO:0005829	GO:0006703	gomodel:R-HSA-193144	development
REACTO:R-HSA-70452	GO:0004807	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-372871	GO:0004365	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-5652070	GO:0050354	GO:0005829		RO:0002411	REACTO:R-HSA-372871	GO:0004365	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-179508	GO:0004332	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-70452	GO:0004807	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-70340	GO:0061609	GO:0005829		RO:0002411	REACTO:R-HSA-70452	GO:0004807	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-6799602	GO:0004342	GO:0005829	GO:0006043	RO:0002411	REACTO:R-HSA-179517	GO:0003872	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-70469	GO:0004347	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-179517	GO:0003872	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-179517	GO:0005488		GO:0008150	RO:0002630	REACTO:R-HSA-179517	GO:0003872	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-179517	GO:0005488		GO:0008150	RO:0002629	REACTO:R-HSA-179517	GO:0003872	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-5696062	GO:0043843	GO:0005829	GO:0061620	RO:0002411	REACTO:R-HSA-70469	GO:0004347	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-450097	GO:0004340	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-70469	GO:0004347	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-6807624	GO:0004618	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-179494	GO:0004619	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-8955670	GO:0047933	GO:0005829	GO:0051156	RO:0002411	REACTO:R-HSA-179494	GO:0004619	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-179494	GO:0004619	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-179497	GO:0004634	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-179497	GO:0004634	GO:0005829	GO:0061621	RO:0002413	REACTO:R-HSA-450668	GO:0004743	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-450668	GO:0005488		GO:0008150	RO:0002630	REACTO:R-HSA-450668	GO:0004743	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-450668	GO:0005488		GO:0008150	RO:0002629	REACTO:R-HSA-450668	GO:0004743	GO:0005829	GO:0061621	gomodel:R-HSA-70171	development
REACTO:R-HSA-450097	GO:0004340	GO:0005829	GO:0061621	RO:0002411	REACTO:R-HSA-8955670	GO:0047933	GO:0005829	GO:0051156	gomodel:R-HSA-70171	development
REACTO:R-HSA-70469	GO:0004347	GO:0005829		RO:0002411	REACTO:R-HSA-8955670	GO:0047933	GO:0005829	GO:0051156	gomodel:R-HSA-70171	development
REACTO:R-HSA-6807624	GO:0004618	GO:0005829	GO:0061621	RO:0002411	REACTO:R-HSA-8955798	GO:0043136	GO:0005829	GO:0006114	gomodel:R-HSA-70171	development
REACTO:R-HSA-8955670	GO:0047933	GO:0005829	GO:0051156	RO:0002411	REACTO:R-HSA-8955798	GO:0043136	GO:0005829	GO:0006114	gomodel:R-HSA-70171	development
REACTO:R-HSA-179494	GO:0004619	GO:0005829		RO:0002411	REACTO:R-HSA-8955798	GO:0043136	GO:0005829	GO:0006114	gomodel:R-HSA-70171	development
REACTO:R-HSA-202266	GO:0004713	GO:0005886	GO:0008150	RO:0002413	REACTO:R-HSA-202368	GO:0004713		GO:0008150	gomodel:R-HSA-202430	development
REACTO:R-HSA-202266	GO:0004713	GO:0005886	GO:0008150	RO:0002629	REACTO:R-HSA-202368	GO:0004713		GO:0008150	gomodel:R-HSA-202430	development
REACTO:R-HSA-202266	GO:0004713	GO:0005886	GO:0008150	RO:0002413	REACTO:R-HSA-8852205	GO:0004725	GO:0005829	GO:0008150	gomodel:R-HSA-202430	development
REACTO:R-HSA-70340	GO:0061609	GO:0005829	GO:0061624	RO:0002413	REACTO:R-HSA-5652070	GO:0050354	GO:0005829	GO:0061624	gomodel:R-HSA-70350	development
REACTO:R-HSA-70340	GO:0061609	GO:0005829	GO:0061624	RO:0002413	REACTO:R-HSA-71689	GO:0004029	GO:0005829	GO:0061624	gomodel:R-HSA-70350	development
REACTO:R-HSA-3323058	GO:0004791	GO:0005759	GO:0034599	RO:0002413	REACTO:R-HSA-3323011	GO:0008379	GO:0005759	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-3299689	GO:0004784	GO:0005759	GO:0034599	RO:0002413	REACTO:R-HSA-3323011	GO:0008379	GO:0005759	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-3323011	GO:0008379	GO:0005759	GO:0034599	RO:0002413	REACTO:R-HSA-3323058	GO:0004791	GO:0005759	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-3323016	GO:0004602	GO:0005759	GO:0034599	RO:0002413	REACTO:R-HSA-3323075	GO:0004362	GO:0005759	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-73532	GO:0004791	GO:0005829	GO:0034599	RO:0002413	REACTO:R-HSA-3341350	GO:0008379	GO:0005829	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-3323058	GO:0004791	GO:0005759	GO:0034599	RO:0002413	REACTO:R-HSA-3323008	GO:0008379	GO:0005759	GO:0034599	gomodel:R-HSA-3299685	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-8954265	GO:0008476	GO:0000139	GO:0050427	gomodel:R-HSA-156584	development
REACTO:R-HSA-189387	GO:0004074	GO:0005829	GO:0042167	RO:0002413	REACTO:R-HSA-266068	GO:0140359	GO:0005886	GO:0042167	gomodel:R-HSA-189483	development
REACTO:R-HSA-5693527	GO:0004674	GO:0005654	GO:0008150	RO:0002413	REACTO:R-HSA-2993789	GO:0019789	GO:0005654	GO:0008150	gomodel:R-HSA-5693565	development
REACTO:R-HSA-5693527	GO:0004674	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-2993789	GO:0019789	GO:0005654	GO:0008150	gomodel:R-HSA-5693565	development
REACTO:R-HSA-2990843	GO:0019789	GO:0005654		RO:0002411	REACTO:R-HSA-2993789	GO:0019789	GO:0005654	GO:0008150	gomodel:R-HSA-5693565	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2022936	GO:0015016	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-2022936	GO:0050119	GO:0000139	GO:0015015	RO:0002411	REACTO:R-HSA-2022936	GO:0015016	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2076429	GO:0008467	GO:0005796	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-2076393	GO:0004394	GO:0000139	GO:0015015	RO:0002411	REACTO:R-HSA-2076429	GO:0008467	GO:0005796	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2076470	GO:0017095	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-2024106	GO:0047464	GO:0000139	GO:0015015	RO:0002411	REACTO:R-HSA-2076470	GO:0017095	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2076393	GO:0004394	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-2024106	GO:0047464	GO:0000139	GO:0015015	RO:0002411	REACTO:R-HSA-2076393	GO:0004394	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2076438	GO:0008467	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-2076393	GO:0004394	GO:0000139	GO:0015015	RO:0002411	REACTO:R-HSA-2076438	GO:0008467	GO:0000139	GO:0015015	gomodel:R-HSA-2022928	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-1971481	GO:0047756	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-1971425	GO:0047238	GO:0000139	GO:0030206	RO:0002413	REACTO:R-HSA-1971481	GO:0047756	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-1971543	GO:0050659	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-1971481	GO:0047756	GO:0000139	GO:0030206	RO:0002413	REACTO:R-HSA-1971543	GO:0050659	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-3465611	GO:0046964	GO:0000139	GO:1902558	RO:0002411	REACTO:R-HSA-2018661	GO:0008459	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-1971425	GO:0047238	GO:0000139	GO:0030206	RO:0002413	REACTO:R-HSA-2018661	GO:0008459	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-1971431	GO:0047238	GO:0000139	GO:0030206	RO:0002413	REACTO:R-HSA-2018661	GO:0008459	GO:0000139	GO:0030206	gomodel:R-HSA-2022870	development
REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-111904	GO:0004683	GO:0005654	GO:0008150	gomodel:R-HSA-111932	development
REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0008150	RO:0002413	REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0008150	gomodel:R-HSA-111932	development
REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-9619152	GO:0004683	GO:0005654	GO:0008150	gomodel:R-HSA-111932	development
REACTO:R-HSA-9618860	GO:0004683	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-9618956	GO:0004683	GO:0005654	GO:0008150	gomodel:R-HSA-111932	development
REACTO:R-HSA-3239009	GO:0004674	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-3239018	GO:0004674	GO:0005654	GO:0008150	gomodel:R-HSA-2559580	development
REACTO:R-HSA-9619152	GO:0004683	GO:0005654		RO:0002411	REACTO:R-HSA-111904	GO:0004683	GO:0005654	GO:0008150	gomodel:R-HSA-2151201	development
UniProtKB:P01589	GO:0004911	GO:0005886	GO:0038110	RO:0002629	UniProtKB:P14784	GO:0015026	GO:0005886	GO:0038110	gomodel:6205c24300001663	production
UniProtKB:P31785	GO:0015026	GO:0005886	GO:0038110	RO:0002629	UniProtKB:P52333	GO:0004713	GO:0031234	GO:0038110	gomodel:6205c24300001663	production
UniProtKB:P60568	GO:0005125	GO:0005615	GO:0038110	RO:0002629	UniProtKB:P01589	GO:0004911	GO:0005886	GO:0038110	gomodel:6205c24300001663	production
UniProtKB:P23458	GO:0004713	GO:0031234	GO:0038110	RO:0002629	UniProtKB:P40763	GO:0003700	GO:0005634	GO:0038110	gomodel:6205c24300001663	production
MGI:MGI:97511	GO:0004252	GO:0030141	GO:0030070	RO:0002413	MGI:MGI:101932	GO:0004181	GO:0030141	GO:0030070	gomodel:62f58d8800001500	production
MGI:MGI:101932	GO:0004181	GO:0030141	GO:0030070	RO:0002413	MGI:MGI:97512	GO:0004252	GO:0030141	GO:0030070	gomodel:62f58d8800001500	production
MGI:MGI:97512	GO:0004252	GO:0030141	GO:0030070	RO:0002413	MGI:MGI:101932	GO:0004181	GO:0030141	GO:0030070	gomodel:62f58d8800001500	production
MGI:MGI:1914725	GO:0015036	GO:0005788	GO:0030070	RO:0002304	MGI:MGI:97464	GO:0015035	GO:0005788	GO:0030070	gomodel:62f58d8800001500	production
MGI:MGI:98817	GO:0044183	GO:0005788	GO:0030070	RO:0002413	MGI:MGI:97464	GO:0015035	GO:0005788	GO:0030070	gomodel:62f58d8800001500	production
UniProtKB:Q6UXB2	GO:0008009	CL:0000576	GO:0002548,GO:0007204	RO:0002629	UniProtKB:Q9HC97	GO:0004930	CL:0000576	GO:0002548,GO:0007204	gomodel:5716c41300000389	production
UniProtKB:Q6UXB2	GO:0008009	CL:0000576	GO:0002548,GO:0007204	RO:0002629	UniProtKB:Q9HC97	GO:0004950	CL:0000576	GO:0002548,GO:0007204	gomodel:5716c41300000389	production
REACTO:R-HSA-1498755	GO:0004605	GO:0005743	GO:0006655	RO:0002413	REACTO:R-HSA-1498775	GO:0008444	GO:0005743	GO:0006655	gomodel:R-HSA-1483148	development
REACTO:R-HSA-1498775	GO:0008444	GO:0005743	GO:0006655	RO:0002413	REACTO:R-HSA-3446802	GO:0008962	GO:0005743	GO:0006655	gomodel:R-HSA-1483148	development
REACTO:R-HSA-198841	GO:0033300	GO:0005886	GO:0019852	RO:0002413	REACTO:R-HSA-198809	GO:0045174	GO:0005829	GO:0019852	gomodel:R-HSA-196836	development
REACTO:R-HSA-1911464	GO:0004842	GO:0005829	GO:0007219	RO:0002413	REACTO:R-HSA-1852620	GO:0008237	GO:0005886	GO:0007219	gomodel:R-HSA-2122948	development
REACTO:R-HSA-69221	GO:0004674	GO:0005654	GO:0008150	RO:0002629	REACTO:R-HSA-8949896	GO:0004693	GO:0005654	GO:0008150	gomodel:R-HSA-69231	development
REACTO:R-HSA-8949896	GO:0004693	GO:0005654	GO:0008150	RO:0002413	REACTO:R-HSA-1363265	GO:0004721	GO:0005654	GO:0008150	gomodel:R-HSA-69231	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6782334	GO:0016783	GO:0005829	GO:0006400	gomodel:R-HSA-6782315	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6782261	GO:0017150	GO:0005829	GO:0006400	gomodel:R-HSA-6782315	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6782438	GO:0016779	GO:0005829	GO:0006400	gomodel:R-HSA-6782315	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6782406	GO:0008479	GO:0005741	GO:0006400	gomodel:R-HSA-6782315	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6784483	GO:0052381	GO:0005829	GO:0006400	gomodel:R-HSA-6782315	development
REACTO:R-HSA-157689	GO:0017056	GO:0005635	GO:0006409	RO:0002411	REACTO:R-HSA-6786518	GO:0008175	GO:0005829	GO:0006400	gomodel:R-HSA-6782315	development
